Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1850;126;false;6956
2340;286;false;10638
1430;246;false;4718
2630;273;false;27808
2430;113;false;24064
2740;246;false;15328
2840;233;false;30434
2190;273;false;19780
1640;220;false;5394
1070;260;false;2578
1810;273;false;13362
2380;233;false;21840
1710;246;false;6178
2210;300;false;10458
2120;233;false;18128
2400;113;false;24064
1350;206;false;3686
2080;166;false;9022
1520;260;false;4734
1490;246;false;5494
1720;246;false;6290
2350;246;false;11384
1340;140;false;3606
2270;246;false;10932
2880;153;false;30740
1910;273;false;14730
2910;166;false;16146
1450;233;false;8600
1360;233;false;7550
1910;246;false;7560
1060;260;false;2324
2200;246;false;10094
2910;220;false;16388
1990;260;false;8656
1030;166;false;2142
2240;180;false;10316
3000;260;false;17572
2540;206;false;12882
1670;166;false;5730
1660;233;false;11232
2510;180;false;12504
2390;206;false;11712
1600;113;false;10356
2170;246;false;9820
2660;126;false;13224
1120;273;false;5210
1250;246;false;4242
2670;206;false;14484
1430;220;false;4304
2400;206;false;11688
2460;233;false;24068
1030;113;false;4090
1080;286;false;2418
2980;286;false;17202
1170;220;false;2800
2180;166;false;10124
2950;260;false;16598
2040;260;false;8850
1940;246;false;7876
2650;260;false;14468
1680;220;false;5974
1960;300;false;8012
2220;153;false;20106
2160;260;false;10564
1280;286;false;3452
1220;233;false;5910
2370;166;false;10470
2450;273;false;23704
2690;273;false;28038
1520;140;false;4586
1330;140;false;3578
2580;220;false;12966
1340;233;false;7304
2220;300;false;9360
1560;273;false;9830
1750;153;false;12740
2960;126;false;16726
1160;220;false;2802
1250;300;false;3210
1630;113;false;10790
2630;206;false;13538
1010;180;false;2082
2830;153;false;29874
2810;153;false;29780
2350;273;false;22338
1280;273;false;6644
1890;300;false;7434
2240;153;false;20016
2540;286;false;13112
1280;113;false;6626
1500;273;false;9066
1810;193;false;13194
2090;180;false;9080
1070;140;false;2272
2500;233;false;23876
1940;273;false;15386
1660;246;false;5712
1810;180;false;6516
1090;153;false;4742
2950;126;false;17066
1370;260;false;3934
1210;180;false;3022
1920;113;false;15180
1520;153;false;9382
1160;113;false;5270
2720;126;false;14202
2540;273;false;25832
1020;286;false;2270
1190;246;false;2930
1910;193;false;15100
2310;126;false;10910
2320;206;false;11284
1580;206;false;5130
2290;166;false;9610
1300;286;false;3486
1900;246;false;7586
1860;180;false;7094
1400;286;false;4258
1700;180;false;5818
1580;140;false;4896
2850;180;false;15668
2820;126;false;14884
1360;140;false;3842
2840;300;false;15488
1960;233;false;15568
1520;126;false;4832
1510;286;false;4722
2170;286;false;9966
1190;220;false;2934
2420;286;false;11654
2420;246;false;10978
1960;180;false;7850
2140;260;false;11752
2130;166;false;9586
1400;166;false;3994
1940;193;false;15318
1070;193;false;4564
2610;193;false;26088
2310;193;false;22744
1100;246;false;2570
2050;273;false;17130
1060;166;false;2266
1490;193;false;9078
2210;286;false;10898
2690;220;false;14772
1200;166;false;2914
2290;286;false;10356
1620;260;false;6100
2700;180;false;14342
1980;260;false;8350
1910;166;false;7508
