Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1140;166;false;1286
1580;273;false;5229
1300;193;false;3369
1740;220;false;3101
1460;113;false;4121
2880;246;false;8612
1150;166;false;1355
2160;286;false;4859
2780;206;false;7565
1880;140;false;3560
2600;246;false;6704
1150;153;false;2684
2970;113;false;16245
1280;153;false;3246
1040;246;false;1129
2470;286;false;6193
2890;153;false;15649
1840;153;false;6725
2620;220;false;6603
2300;193;false;11360
1850;126;false;3478
2340;286;false;5319
1430;246;false;2359
2630;273;false;13904
2430;113;false;12032
2740;246;false;7664
2840;233;false;15217
2190;273;false;9890
1640;220;false;2697
1070;260;false;1289
1810;273;false;6681
2380;233;false;10920
1710;246;false;3089
2210;300;false;5229
2120;233;false;9064
2400;113;false;12032
1350;206;false;1843
2080;166;false;4511
1520;260;false;2367
1490;246;false;2747
1720;246;false;3145
2350;246;false;5692
1340;140;false;1803
2270;246;false;5466
2880;153;false;15370
1910;273;false;7365
2910;166;false;8073
1450;233;false;4300
1360;233;false;3775
1910;246;false;3780
1060;260;false;1162
2200;246;false;5047
2910;220;false;8194
1990;260;false;4328
1030;166;false;1071
2240;180;false;5158
3000;260;false;8786
2540;206;false;6441
1670;166;false;2865
1660;233;false;5616
2510;180;false;6252
2390;206;false;5856
1600;113;false;5178
2170;246;false;4910
2660;126;false;6612
1120;273;false;2605
1250;246;false;2121
2670;206;false;7242
1430;220;false;2152
2400;206;false;5844
2460;233;false;12034
1030;113;false;2045
1080;286;false;1209
2980;286;false;8601
1170;220;false;1400
2180;166;false;5062
2950;260;false;8299
2040;260;false;4425
1940;246;false;3938
2650;260;false;7234
1680;220;false;2987
1960;300;false;4006
2220;153;false;10053
2160;260;false;5282
1280;286;false;1726
1220;233;false;2955
2370;166;false;5235
2450;273;false;11852
2690;273;false;14019
1520;140;false;2293
1330;140;false;1789
2580;220;false;6483
1340;233;false;3652
2220;300;false;4680
1560;273;false;4915
1750;153;false;6370
2960;126;false;8363
1160;220;false;1401
1250;300;false;1605
1630;113;false;5395
2630;206;false;6769
1010;180;false;1041
2830;153;false;14937
2810;153;false;14890
2350;273;false;11169
1280;273;false;3322
1890;300;false;3717
2240;153;false;10008
2540;286;false;6556
1280;113;false;3313
1500;273;false;4533
1810;193;false;6597
2090;180;false;4540
1070;140;false;1136
2500;233;false;11938
1940;273;false;7693
1660;246;false;2856
1810;180;false;3258
1090;153;false;2371
2950;126;false;8533
1370;260;false;1967
1210;180;false;1511
1920;113;false;7590
1520;153;false;4691
1160;113;false;2635
2720;126;false;7101
2540;273;false;12916
1020;286;false;1135
1190;246;false;1465
1910;193;false;7550
2310;126;false;5455
2320;206;false;5642
1580;206;false;2565
2290;166;false;4805
1300;286;false;1743
1900;246;false;3793
1860;180;false;3547
1400;286;false;2129
1700;180;false;2909
1580;140;false;2448
2850;180;false;7834
2820;126;false;7442
1360;140;false;1921
2840;300;false;7744
1960;233;false;7784
1520;126;false;2416
1510;286;false;2361
2170;286;false;4983
1190;220;false;1467
2420;286;false;5827
2420;246;false;5489
1960;180;false;3925
